REG_ANS,Trimestre,Ano,ValorDespesas
422584,1,2025,4724455.75
421723,1,2025,490266.37
420051,1,2025,250403.13
420093,1,2025,1046807.97
420166,1,2025,44169153.85
421341,1,2025,22284895.52
420000,1,2025,16211863.08
420701,1,2025,7271916.03
420930,1,2025,637492.58
421154,1,2025,10975343.38
421561,1,2025,228946.14
419958,1,2025,7583405.57
421197,1,2025,23701189.83
421359,1,2025,3616294.03
421618,1,2025,1358108.8
420786,1,2025,6266876.95
420841,1,2025,2848.8
421189,1,2025,757403.48
421634,1,2025,1120459.57
421707,1,2025,4246798.36
420123,1,2025,2214820.09
421367,1,2025,1484944.68
420816,1,2025,713631.78
421642,1,2025,225.39
420077,1,2025,68954286.56
421006,1,2025,16124343.55
420158,1,2025,21220219.27
419974,1,2025,2536993.71
420085,1,2025,3855833.88
421421,1,2025,61558843.68
420981,1,2025,1516452.39
423181,1,2025,123798.39
423262,1,2025,129517.18
421928,1,2025,91207494.34
422088,1,2025,1006362.67
422321,1,2025,14613755.83
422398,1,2025,23026981.04
422762,1,2025,4203471.04
423351,1,2025,5128852.61
422959,1,2025,1333585.26
423203,1,2025,1695054.63
421731,1,2025,10046468.75
421944,1,2025,13447817.12
422631,1,2025,30838913.81
422771,1,2025,13980899.16
422029,1,2025,61580643.9
422339,1,2025,85271230.7
422371,1,2025,7059441.54
422479,1,2025,20145.68
422827,1,2025,5750070.56
360414,1,2025,15225102.2
357511,1,2025,241599986.26
358053,1,2025,13069639.11
358436,1,2025,4243315.52
359289,1,2025,38608164.19
354619,1,2025,7882867.65
358096,1,2025,22777829.02
356581,1,2025,14803024.07
359033,1,2025,9210445.24
360244,1,2025,69895466.5
355097,1,2025,205749484.27
355593,1,2025,12203787.16
357138,1,2025,33901106.0
357669,1,2025,4861766.63
358754,1,2025,15150464.97
359661,1,2025,555479030.68
354783,1,2025,82022598.47
355721,1,2025,203235488.18
356417,1,2025,98987030.79
357391,1,2025,456988550.14
354627,1,2025,11539294.63
358088,1,2025,60416859.41
358282,1,2025,9339469.38
359122,1,2025,24715870.98
355151,1,2025,82005527.72
357260,1,2025,47107424.96
357715,1,2025,9581090.21
357022,1,2025,21151030.95
358339,1,2025,1541897.63
359777,1,2025,59002483.44
355691,1,2025,142581327.02
356123,1,2025,34643329.44
359017,1,2025,2324392955.22
354678,1,2025,3975337.69
354996,1,2025,7485617.16
356476,1,2025,30663429.02
355577,1,2025,16955857.7
382639,1,2025,456873.43
380661,1,2025,89408933.66
368920,1,2025,21675260.11
369411,1,2025,39431119.43
371254,1,2025,189073136.2
379280,1,2025,50080008.11
378216,1,2025,15362307.3
370568,1,2025,1538227.54
370711,1,2025,1280323.88
371106,1,2025,48096257.97
372561,1,2025,19208762.86
382655,1,2025,1422381.65
384577,1,2025,178455739.89
371629,1,2025,44831438.2
381144,1,2025,1262773.79
370070,1,2025,120972273.99
368253,1,2025,2237412102.98
370592,1,2025,3855297.31
361569,1,2025,4060608.92
366439,1,2025,3954909.93
367613,1,2025,2509608.14
363286,1,2025,11542431.38
366064,1,2025,15822774.97
368148,1,2025,17703860.75
361593,1,2025,2740739.84
361941,1,2025,24729411.76
366561,1,2025,76430767.45
362832,1,2025,7639796.37
364312,1,2025,79962147.88
365238,1,2025,17636719.4
367095,1,2025,90890953.58
363391,1,2025,1719222.12
365777,1,2025,15650515.86
361011,1,2025,145107614.28
366340,1,2025,11926751.98
360449,1,2025,281513464.45
362140,1,2025,23619999.1
363855,1,2025,23347197.14
361615,1,2025,26041769.71
367397,1,2025,74449764.16
360783,1,2025,2938905.88
361461,1,2025,19432786.35
363189,1,2025,2696168.82
365530,1,2025,11108192.56
365645,1,2025,3344445.7
367087,1,2025,70120455.42
364860,1,2025,38063370.34
365785,1,2025,1086154.28
364584,1,2025,103136112.49
362573,1,2025,8965161.25
364070,1,2025,6745701.11
364592,1,2025,14621056.39
385255,1,2025,37360059.48
